c. 1325 a.C.,c. 1325 a.C.,Convocação Geral e a Batalha dos Vaus do Jordão,Eúde / exército de Israel,Israel,Vaus do Rio Jordão,"Já na região montanhosa, Eúde toca o shofar (corneta de chifre de carneiro) e convoca o exército de Israel. Eles descem as colinas e assumem o controle estratégico dos vaus do rio Jordão. O exército intercepta os moabitas que tentavam fugir de volta para a sua terra natal. Naquela batalha, os israelitas mataram cerca de 10.000 soldados moabitas valentes, eliminando completamente a guarnição inimiga.",
c. 1325 a.C.,c. 1245 a.C.,Longo Período de Paz,,Israel,,"Após a vitória avassaladora liderada por Eúde, o domínio moabita foi quebrado e a terra desfrutou do maior período de paz contínua registrado em todo o livro de Juízes (80 anos), estabilidade que durou até a morte de Eúde.",
,,,,,,,
c. 1325 a.C.,c. 1325 a.C.,Batalha Solo com a Aguilhada de Bois e morte de 600 filisteus,Samgar ben Anate / Filisteus,Dã / Judá,,"Sem armas de guerra convencionais (como espadas ou lanças), Sangar utilizou o que tinha à disposição: uma aguilhada de bois — um longo bastão de madeira (cerca de 2 a 2,5 metros) que possuía uma ponta de metal em uma extremidade para guiar o gado e uma raspadeira de ferro na outra para limpar o arado. Sozinho, sob a capacitação divina, ele enfrentou um exército ou bando de saqueadores e matou 600 filisteus, interrompendo temporariamente a expansão inimiga e libertando os vilarejos locais do terror.",Juízes 3:31
c. 1325 a.C.,c. 1318 a.C.,Trégua contra os filisteus,,Israel,,"Embora não haja registros de que Sangar tenha governado por décadas como Otniel ou Gideão, seu ato heroico garantiu uma trégua crucial contra os filisteus. Ele manteve a resistência de Israel viva até que a liderança nacional se deslocasse para o norte com o surgimento da profetisa Débora.",
c. 1270 a.C.,c. 1250 a.C.,Opressão Cananeia - Submissão e domínio tecnológico.,Jabim / Sísera,Israel,Hazor / Harosete-Hagoim," Durante quase duas décadas, os israelitas sofreram forte opressão econômica e militar. O rei Jabim controlava as rotas comerciais no norte. Sísera mantinha as tribos isoladas e aterrorizadas a partir de sua base militar (Harosete-Hagoim) usando uma força imbatível de 900 carros de guerra feitos de ferro. Não havia exército ou batalhas por parte de Israel; o povo vivia escondido e desarmado.",
c. 1250 a.C.,c. 1250 a.C.,Insegurança e bloqueio das rotas comerciais por investidas filisteias,Povo de Israel / Filisteus,Canaã,Estradas e vales da planície costeira,As estradas principais ficaram desertas e os viajantes precisavam recorrer a caminhos desviados devido aos ataques e saques dos filisteus.,Juízes 5:6
c. 1250 a.C.,c. 1250 a.C.,Libertação de Israel da ameaça filisteia por Samgar,Samgar (filho de Anate),Canaã,Planície costeira (Fronteira com a Filístia),"Com uma simples aguilhada de bois (ferramenta agrícola), Samgar feriu 600 homens filisteus e libertou Israel de uma opressão incipiente.",Juízes 3:31
c. 1230 a.C.,c. 1210 a.C.,Opressão de vinte anos pelo reino cananeu de Hazor,Jabim (rei de Canaã) e Sísera (comandante),Canaã,Hazor / Harosete-dos-Gentios,"Após a morte de Eúde, Israel voltou a fazer o que era mau. Jabim oprimiu cruelmente os israelitas com sua força militar de 900 carros de ferro.",Juízes 4:1-3
c. 1210 a.C.,c. 1210 a.C.,Convocação profética de Baraque sob a palmeira de Débora,Débora (profetisa e juíza) e Baraque,Canaã,Entre Ramá e Betel (Monte Efraim),Débora julgava Israel sob uma palmeira e transmitiu a ordem divina para Baraque reunir 10.000 homens das tribos de Naftali e Zebulom.,Juízes 4:4-10
c. 1210 a.C.,c. 1210 a.C.,Concentração das forças israelitas no Monte Tabor,Baraque e Débora,Canaã,Monte Tabor,"Baraque reuniu as tropas das tribos do norte no topo do monte, preparando-se para o confronto direto contra o exército de Sísera.",Juízes 4:12-14
c. 1210 a.C.,c. 1210 a.C.,Batalha do Ribeiro de Cissom e aniquilação dos carros de ferro,"Baraque, Sísera e exército israelita",Canaã,Vale de Jezreel / Ribeiro de Cissom,Deus desbaratou Sísera e seus 900 carros; uma tempestade e a subsequente inundação atolaram os carros de ferro no ribeiro de Cissom.,Juízes 4:15-16; Juízes 5:20-21
c. 1210 a.C.,c. 1210 a.C.,Fuga de Sísera e execução na tenda de Jael,"Sísera e Jael (esposa de Héber, o queneu)",Canaã,Zaanaim (perto de Quedes),"Sísera fugiu a pé para a tenda de Jael. Enquanto dormia exausto, Jael cravou uma estaca de tenda em sua têmpora, cumprindo a profecia de Débora.",Juízes 4:17-22
c. 1210 a.C.,c. 1191 a.C.,Destruição do domínio de Jabim e pacificação da terra,"Baraque, Débora e líderes israelitas",Canaã,Hazor / Região do Norte,"O poder do rei Jabim foi progressivamente suprimido por Israel até que ele foi totalmente destruído, resultando em 40 anos de paz na região.",Juízes 4:23-24; Juízes 5:31
c. 1167 a.C.,c. 1160 a.C.,Opressão midianita de sete anos sobre Israel,Midianitas / Povo de Israel,Canaã,Vales e cavernas de Israel,"Midianitas, amalequitas e povos do Oriente destruíam as colheitas, forçando os israelitas a se esconderem em covas e cavernas.",Juízes 6:1-6
c. 1160 a.C.,c. 1160 a.C.,Chamado de Gideão pelo Anjo do Senhor,Anjo do Senhor / Gideão,Canaã,Ofra (Manassés),"O Anjo do Senhor aparece a Gideão enquanto este malhava trigo num lagar para esconder dos midianitas, chamando-o de homem valente.",Juízes 6:11-18
c. 1160 a.C.,c. 1160 a.C.,Destruição do altar de Baal e construção do altar a Yahweh,Gideão,Canaã,Ofra (Manassés),"Gideão derruba o altar de Baal de seu pai e corta o poste-ídolo de noite, recebendo o nome de Jerubaal.",Juízes 6:25-32
c. 1160 a.C.,c. 1160 a.C.,Sinal da lã molhada e enxuta,Gideão,Canaã,Ofra (Manassés),Gideão pede dois sinais a Deus usando uma porção de lã na eira para confirmar que salvaria Israel.,Juízes 6:36-40
c. 1160 a.C.,c. 1160 a.C.,Seleção dos 300 guerreiros na Fonte de Harode,Gideão / Exército de Israel,Canaã,Fonte de Harode (Vale de Jezreel),"Deus reduz o exército de 32.000 para 300 homens com base no teste da água, para que Israel não se gloriasse da vitória.",Juízes 7:1-8
c. 1160 a.C.,c. 1160 a.C.,Infiltração no acampamento e o sonho do pão de cevada,Gideão e Pura,Canaã,Vale de Jezreel,"Gideão ouve um soldado midianita contando um sonho sobre um pão de cevada que derrubava a tenda, confirmando a vitória divina.",Juízes 7:9-14
c. 1160 a.C.,c. 1160 a.C.,"Ataque noturno com cornetas, cântaros e tochas",Gideão / Os 300 guerreiros,Canaã,Vale de Jezreel,Os 300 atacam em três companhias tocando cornetas e quebrando cântaros com tochas; os midianitas entram em pânico e lutam entre si.,Juízes 7:16-22
c. 1160 a.C.,c. 1160 a.C.,Perseguição aos midianitas e execução de Orebe e Zebe,Gideão / Tribo de Efraim,Transjordânia,Vados do Jordão / Orebe e Zebe,A tribo de Efraim captura e mata os príncipes midianitas Orebe e Zebe nos vados do Jordão.,Juízes 7:23-25; 8:1-3
c. 1160 a.C.,c. 1160 a.C.,Castigo às cidades de Sucote e Penuel,Gideão / Homens de Sucote e Penuel,Transjordânia,Sucote / Penuel,"Por negarem pão aos homens de Gideão durante a perseguição a Zeba e Salmuna, Gideão castiga os anciãos de Sucote e derruba a torre de Penuel.",Juízes 8:4-17
c. 1160 a.C.,c. 1160 a.C.,Execução dos reis Zeba e Salmuna e recusa da coroa,Gideão / Zeba e Salmuna,Transjordânia,Carcor,"Gideão mata os reis midianitas e recusa o convite para governar como rei sobre Israel, declarando que o Senhor governaria.",Juízes 8:18-23
c. 1155 a.C.,c. 1155 a.C.,Confecção do éfode de ouro em Ofra,Gideão,Canaã,Ofra (Manassés),"Gideão recolhe argolas de ouro do despojo e faz um éfode, que mais tarde se torna laço e objeto de idolatria para Israel.",Juízes 8:24-27
c. 1120 a.C.,c. 1120 a.C.,Morte de Gideão e nova apostasia de Israel,Gideão / Povo de Israel,Canaã,Ofra / Siquém,"Após 40 anos de paz sob Gideão, ele morre e Israel volta a se prostituir com os Baalins, fazendo de Baal-Berite o seu deus.",Juízes 8:28-35
c. 1120 a.C.,c. 1120 a.C.,Massacre dos 70 filhos de Gideão e usurpação de Abimeleque,Abimeleque / Cidadãos de Siquém,Canaã,Ofra / Siquém,"Abimeleque, filho da concubina de Gideão, mata seus 70 meio-irmãos sobre uma pedra em Ofra e se proclama rei em Siquém.",Juízes 9:1-6
c. 1120 a.C.,c. 1120 a.C.,Parábola das árvores proferida por Jotão,Jotão (filho caçula de Gideão),Canaã,Monte Gerizim,"Jotão, o único sobrevivente do massacre, profere a parábola do espinheiro no Monte Gerizim, alertando contra a tirania de Abimeleque.",Juízes 9:7-21
c. 1117 a.C.,c. 1117 a.C.,Rebelião de Gaal e conspiração contra Abimeleque,Gaal / Zebul / Abimeleque,Canaã,Siquém,Um espírito de aversão enviado por Deus surge entre Abimeleque e os homens de Siquém; Gaal lidera a rebelião local.,Juízes 9:22-29
c. 1117 a.C.,c. 1117 a.C.,Destruição de Siquém e massacre na torre de Baal-Berite,Abimeleque,Canaã,Siquém / Torre de Siquém,"Abimeleque derrota Gaal, destrói Siquém, semeia-a com sal e queima a torre de Siquém com cerca de mil pessoas dentro.",Juízes 9:30-49
c. 1117 a.C.,c. 1117 a.C.,Cerco de Tebes e morte de Abimeleque por uma pedra de moinho,Abimeleque / Mulher anônima,Canaã,Tebes,"Ao cercar a torre forte de Tebes, uma mulher lança uma pedra mó superior sobre a cabeça de Abimeleque, e ele pede ao seu escudeiro que o mate.",Juízes 9:50-57
c. 1117 a.C.,c. 1094 a.C.,Liderança e juizado de Tola por 23 anos,Tola (filho de Puá),Canaã,Shamir (Monte Efraim),"Tola, da tribo de Issacar, surge para livrar Israel e julga o país por 23 anos em paz, habitando em Shamir.",Juízes 10:1-2
c. 1094 a.C.,c. 1072 a.C.,Liderança e juizado de Jair por 22 anos,"Jair, o gileadita",Transjordânia,Gileade,Jair lidera Israel por 22 anos; seus 30 filhos cavalgavam 30 jumentos e governavam 30 cidades chamadas Havote-Jair.,Juízes 10:3-5
c. 1090 a.C.,c. 1072 a.C.,Nova apostasia e opressão amonita e filisteia por 18 anos,Amonitas / Filisteus / Israelitas,Transjordânia / Canaã,Gileade / Judá / Benjamim,"Israel serve aos deuses de várias nações; os amonitas oprimem os israelitas na Transjordânia e atacam Judá, Benjamim e Efraim.",Juízes 10:6-18
c. 1090 a.C.,c. 1050 a.C.,Início da opressão filisteia de 40 anos no Sudoeste,Filisteus / Povo de Israel,Filístia / Canaã,Sul de Canaã e Filístia,"Israel torna a fazer o que era mau perante o Senhor, que os entrega nas mãos dos filisteus por quarenta anos.",Juízes 13:1
c. 1090 a.C.,c. 1090 a.C.,Anunciação do nascimento de Sansão ao casal de Zorá,Anjo do Senhor / Manoá e sua esposa,Canaã,Zorá (Dã/Judá),"O Anjo do Senhor aparece à esposa estéril de Manoá, anunciando um filho consagrado como nazireu desde o ventre para livrar Israel.",Juízes 13:2-25
c. 1072 a.C.,c. 1072 a.C.,Chamado de Jefté pelos anciãos de Gileade,Jefté e Anciãos de Gileade,Transjordânia,Terra de Tob / Mizpá,"Jefté, expulso por ser filho de uma prostituta, é chamado de volta da terra de Tob para liderar Gileade contra os amonitas.",Juízes 11:1-11
c. 1072 a.C.,c. 1072 a.C.,Negociação diplomática frustrada de Jefté com o rei de Amom,Jefté e Rei de Amom,Transjordânia,Gileade / Amom,"Jefté envia mensageiros argumentando os direitos históricos de Israel sobre a terra desde o Êxodo, mas o rei amonita recusa o diálogo.",Juízes 11:12-28
c. 1072 a.C.,c. 1072 a.C.,Voto imprudente de Jefté antes da batalha,Jefté,Transjordânia,Mizpá de Gileade,Jefté faz um voto ao Senhor de oferecer como holocausto o primeiro que saísse da sua casa ao retornar vitorioso.,Juízes 11:29-31
c. 1072 a.C.,c. 1072 a.C.,Derrota avassaladora dos amonitas de Aroer até Minite,Jefté e Exército amonita,Transjordânia,Aroer / Minite / Abel-Keramim,"O Espírito do Senhor vem sobre Jefté, que derrota os amonitas devastando 20 cidades, subjugando o inimigo.",Juízes 11:32-33
c. 1072 a.C.,c. 1072 a.C.,Cumprimento do voto e lamentação da filha de Jefté,Jefté e sua filha única,Transjordânia,Mizpá de Gileade,"A filha única de Jefté sai ao seu encontro com tamborins; após dois meses chorando sua virgindade nos montes, Jefté cumpre seu voto.",Juízes 11:34-40
c. 1072 a.C.,c. 1072 a.C.,Conflito com Efraim nos vados do Jordão e a senha Shibboleth,Jefté / Gileaditas / Efraimitas,Canaã / Transjordânia,Vados do Rio Jordão,Os efraimitas ameaçam Jefté por não os ter chamado para a guerra; os gileaditas fecham o Jordão e matam 42.000 efraimitas identificados pelo termo Shibboleth.,Juízes 12:1-7
c. 1070 a.C.,c. 1070 a.C.,Casamento em Timna e o enigma do leão e do mel,Sansão / Mulher timnata / Filisteus,Filístia,Timna,"Sansão mata um leão novo, acha mel na carcaça e propõe um enigma nas bodas; a noiva descobre a resposta e a revela aos filisteus.",Juízes 14:1-18
c. 1070 a.C.,c. 1070 a.C.,Vingança em Ascalom e a queima das colheitas com raposas,Sansão e Filisteus,Filístia,Ascalom / Timna,"Sansão mata 30 homens em Ascalom para pagar os vestuários do enigma. Mais tarde, usa 300 raposas com tochas para queimar as searas dos filisteus.",Juízes 14:19–15:5
c. 1070 a.C.,c. 1070 a.C.,Batalha em Lehi e a vitória com a queixada de jumento,Sansão / Homens de Judá / Filisteus,Canaã,Rocha de Etã / Lehi (Judá),"Entregue amarrado pelos homens de Judá, o Espírito do Senhor vem sobre Sansão, que rompe as cordas e mata mil filisteus com uma queixada fresca de jumento.",Juízes 15:9-17
c. 1060 a.C.,c. 1060 a.C.,Remoção dos portões da cidade de Gaza até Hebrom,Sansão e Povo de Gaza,Filístia / Canaã,Gaza / Monte defronte de Hebrom,"Cercado por filisteus em Gaza na casa de uma prostituta, Sansão arranca as portas do portão da cidade com os umbrais e tranca, carregando-as nos ombros até Hebrom.",Juízes 16:1-3
c. 1050 a.C.,c. 1050 a.C.,Sedução por Dalila e perda do segredo do nazireado,Sansão / Dalila / Príncipes filisteus,Filístia,Vale de Soreque,"Subornado pelos príncipes filisteus, Dalila insiste até Sansão revelar que a lâmina nunca passara por sua cabeça; seu cabelo é cortado enquanto dorme e ele perde a força.",Juízes 16:4-20
c. 1050 a.C.,c. 1050 a.C.,"Cativeiro, cegueira e ruína do Templo de Dagão em Gaza",Sansão e Filisteus,Filístia,Gaza (Templo de Dagão),"Cego e encarregado de moer no cárcere, Sansão recupera o cabelo. Durante um festival a Dagão, pede a Deus força final, empurra as colunas do templo e mata mais filisteus na morte do que em vida.",Juízes 16:21-31
c. 1110 a.C.,c. 1110 a.C.,Migração da família de Elimeleque para Moabe devido à fome,"Elimeleque, Noemi, Malom e Quiliom",Judá / Moabe,Belém de Judá / Campos de Moabe,"Durante um período de escassez no tempo dos Juízes, Elimeleque deixa Belém com sua esposa e dois filhos para peregrinar na terra estrangeira de Moabe.",Rute 1:1-2
c. 1108 a.C.,c. 1100 a.C.,Morte de Elimeleque e casamento dos filhos com moabitas,"Noemi, Malom, Quiliom, Rute e Orfa",Moabe (Estrangeiro),Campos de Moabe,Elimeleque morre em Moabe. Seus dois filhos casam-se com mulheres moabitas (Rute e Orfa) e habitam naquela terra por cerca de dez anos.,Rute 1:3-4
c. 1100 a.C.,c. 1100 a.C.,Morte de Malom e Quiliom e a desolação de Noemi,"Noemi, Rute e Orfa",Moabe (Estrangeiro),Campos de Moabe,"Malom e Quiliom morrem sem deixar herdeiros, deixando Noemi desamparada, viúva e sem os seus dois filhos em solo estrangeiro.",Rute 1:5
c. 1100 a.C.,c. 1100 a.C.,Decisão de retorno e o pacto irrestrito de fidelidade de Rute,"Noemi, Rute e Orfa",Moabe / Judá (Tribo de Judá),Caminho de Moabe para Belém,"Ao saber que Deus abençoou Judá com pão, Noemi decide voltar. Orfa retorna ao seu povo, mas Rute declara: ""Teu povo será o meu povo, e o teu Deus o meu Deus"".",Rute 1:6-18
c. 1100 a.C.,c. 1100 a.C.,Chegada a Belém no início da colheita da cevada,"Noemi, Rute e Mulheres de Belém",Judá (Tribo de Judá),Belém de Judá,"A cidade se comove com a chegada de Noemi; abalada pelo sofrimento, ela pede para ser chamada de Mara (""amarga""), pois o Senhor a fez voltar vazia.",Rute 1:19-22
c. 1100 a.C.,c. 1100 a.C.,Rute vai respigar e chega ao campo do parente Boaz,"Rute, Boaz e Trabalhadores",Judá (Tribo de Judá),Campos agrícolas de Belém,"Buscando sustento para a sogra, Rute vai respigar sobras da colheita e chega por providência ao campo de Boaz, resgatador (Gō’ēl) da família de Elimeleque.",Rute 2:1-3
c. 1100 a.C.,c. 1100 a.C.,"Proteção, provisão e favores concedidos por Boaz a Rute",Boaz e Rute,Judá (Tribo de Judá),Campos de Belém,"Boaz elogia a bondade de Rute para com Noemi, proíbe que a molestem, permite que beba de sua água, coma com os ceifeiros e ordena que deixem cair espigas para ela.",Rute 2:4-17
c. 1100 a.C.,c. 1100 a.C.,Revelação do parentesco e instrução de Noemi sobre o Gō’ēl,Noemi e Rute,Judá (Tribo de Judá),Belém de Judá,"Rute retorna com um efa de cevada. Noemi reconhece a mão de Deus, revela que Boaz é parente resgatador e instrui Rute sobre como pedir a redenção na eira.",Rute 2:18-23; Rute 3:1-5
c. 1100 a.C.,c. 1100 a.C.,O encontro noturno na eira e o pedido do manto de redenção,Rute e Boaz,Judá (Tribo de Judá),Eira de Boaz em Belém,"Rute deita-se aos pés de Boaz à noite e pede que estenda sua capa sobre ela por ser resgatador; Boaz aceita o compromisso, ressalvando que há um parente mais próximo.",Rute 3:6-18
c. 1100 a.C.,c. 1100 a.C.,Assembleia no portão da cidade e renúncia do resgatador mais próximo,"Boaz, Parente Anônimo (Ploni Almoni) e 10 Anciãos",Judá (Tribo de Judá),Portão da cidade de Belém,"Boaz reúne os anciãos no portão. O parente mais próximo desiste da compra das terras ao saber que devia casar com Rute, tirando o sapato e transferindo o direito a Boaz.",Rute 4:1-12
c. 1099 a.C.,c. 1099 a.C.,Casamento de Boaz e Rute e o nascimento de Obede,"Boaz, Rute, Noemi, Obede e Mulheres de Belém",Judá (Tribo de Judá),Belém de Judá,"Boaz casa-se com Rute e Deus lhe concede conceber Obede. As mulheres celebram com Noemi, que se torna ama do menino; Obede é pai de Jessé e avô de Davi.",Rute 4:13-17
c. 1099 a.C.,c. 1040 a.C.,Consolidação da genealogia messiânica de Peres ao Rei Davi,"Peres, Salmão, Boaz, Obede, Jessé e Davi",Judá (Tribo de Judá),Belém de Judá,"O livro encerra-se com a genealogia formal de dez gerações ligando Peres a Davi, demonstrando a providência divina na preservação da linhagem real e messiânica.",Rute 4:18-22
c. 1148 a.C.,c. 1050 a.C.,Vida e juizado do Sumo Sacerdote e Juiz Eli,Eli,Efraim,Siló,Eli atuou como sumo sacerdote e julgou Israel por 40 anos. Faleceu aos 98 anos ao saber da captura da Arca e da morte de seus filhos.,1 Samuel 1:3; 1 Samuel 4:15-18
c. 1105 a.C.,c. 1012 a.C.,Vida e ministério do Profeta e Juiz Samuel,Samuel,Efraim / Benjamim,Ramá / Siló / Mizpá,Último juiz e primeiro grande profeta da era monárquica; ungiu Saul e Davi como reis sobre Israel. Viveu cerca de 93 anos.,1 Samuel 1:20; 1 Samuel 25:1
c. 1105 a.C.,c. 1105 a.C.,Oração de Ana e promessa de dedicação de Samuel,"Ana, Elcana e Eli",Efraim,Siló (Tabernáculo),"Ana, mulher estéril, ora fervorosamente no Tabernáculo e faz um voto de entregar o filho ao Senhor como nazireu por toda a vida.",1 Samuel 1:9-28
c. 1093 a.C.,c. 1093 a.C.,Chamado profético noturno de Samuel,Samuel e Eli,Efraim,Siló (Tabernáculo),Deus chama Samuel três vezes durante a noite e revela o juízo irreversível que viria sobre a casa sacerdotal de Eli.,1 Samuel 3:1-21
c. 1050 a.C.,c. 1050 a.C.,"Batalha de Afec, morte dos filhos de Eli e captura da Arca","Eli, Hofni, Fineias e Filisteus",Benjamim / Efraim,Afec / Siló,"Os filisteus derrotam Israel, capturam a Arca da Aliança e matam Hofni e Fineias; Eli morre ao cair da cadeira e Siló é destruída.",1 Samuel 4:1-22
c. 1050 a.C.,c. 1049 a.C.,A Arca nas cidades filisteias e a humilhação do deus Dagão,Filisteus e Povo de Bete-Semes,Filístia / Judá,Asdode / Gate / Ecrom / Quiriat-Jearim,"O deus Dagão cai decapitado perante a Arca em Asdode, e as cidades filisteias são atingidas por tumores até devolverem a Arca em uma carroça nova.",1 Samuel 5:1–7:2
c. 1040 a.C.,c. 965 a.C.,Vida do Sumo Sacerdote Abiatar,Abiatar,Benjamim / Judá,Nobe / Jerusalém / Anatote,"Filho de Aimeleque, único sobrevivente do massacre de Nobe; serviu como sacerdote de Davi no deserto e no reino, sendo deposto por Salomão.",1 Samuel 22:20-23; 1 Reis 2:26-27
c. 1040 a.C.,c. 970 a.C.,Período de vida e atuação do Profeta Natã,Natã,Judá,Jerusalém,"Profeta do reino de Davi; comunicou a Aliança Davídica, repreendeu o rei pelo pecado com Bate-Seba e garantiu a sucessão de Salomão.",2 Samuel 7:1-17; 2 Samuel 12:1-15
c. 1035 a.C.,c. 970 a.C.,Período de vida e atuação do Profeta e Vidente Gade,Gade,Judá,Deserto de Judá / Jerusalém,"Vidente pessoal de Davi; aconselhou o rei durante a fuga de Saul e anunciou a punição divina após o censo, orientando a compra da eira de Araúna.",1 Samuel 22:5; 2 Samuel 24:11-19
c. 1035 a.C.,c. 960 a.C.,Vida e ministério do Sumo Sacerdote Zadoque,Zadoque,Judá / Benjamim,Hebrom / Jerusalém,"Descendente de Eleazar; permaneceu fiel a Davi durante as revoltas de Absalão e Adonias, tornando-se o sumo sacerdote principal sob Salomão.",2 Samuel 8:17; 1 Reis 1:38-39
c. 1030 a.C.,c. 1030 a.C.,Reavivamento em Mizpá e o monumento Ebenézer,Samuel e Povo de Israel,Benjamim,Mizpá,"Israel jejua e confessa seus pecados; Deus ruge com trovões sobre os filisteus em combate, e Samuel ergue a pedra Ebenézer (""Até aqui nos ajudou o Senhor"").",1 Samuel 7:3-14
c. 1030 a.C.,c. 1030 a.C.,Exigência do povo por um rei e rejeição dos filhos de Samuel,"Samuel, Joel, Abias e Anciãos",Efraim,Ramá,"Devido à corrupção dos filhos de Samuel (Joel e Abias) e ao desejo de serem como as outras nações, os anciãos exigem a unção de um rei.",1 Samuel 8:1-22
c. 1030 a.C.,c. 1030 a.C.,Busca das jumentas de Quis e unção secreta de Saul,Saul e Samuel,Benjamim / Efraim,Zufe / Ramá,"Saul procura as jumentas perdidas do pai, consulta o profeta Samuel em Ramá e é unxido secretamente como o primeiro rei de Israel.",1 Samuel 9:1–10:8
c. 1030 a.C.,c. 1030 a.C.,Aclamação pública de Saul por sorteio em Mizpá,Saul e Samuel,Benjamim,Mizpá,"Samuel reúne o povo em Mizpá e realiza um sorteio pelas tribos e famílias até a escolha recair sobre Saul, que estava escondido entre a bagagem.",1 Samuel 10:17-27
c. 1030 a.C.,c. 1030 a.C.,Socorro a Jabes-Gileade e confirmação do reino em Gilgal,"Saul, Naás (amonita) e Samuel",Gileade (Gade) / Benjamim,Jabes-Gileade / Gilgal,"Naás amonita exige furar o olho direito dos habitantes de Jabes; Saul reúne o exército, massacra os amonitas e tem seu reinado confirmado em Gilgal.",1 Samuel 11:1-15
c. 1028 a.C.,c. 1028 a.C.,Usurpação sacerdotal de Saul e primeiro anúncio de rejeição,Saul e Samuel,Benjamim,Gilgal,"Diante da demora de Samuel e da dispersão das tropas em Gilgal, Saul oferece impacientemente o holocausto, e Samuel profetiza a perda de sua dinastia.",1 Samuel 13:1-15
c. 1027 a.C.,c. 1027 a.C.,Ato heroico de Jônatas no desfiladeiro de Micmãs,"Jônatas, Escudeiro e Saul",Benjamim,Micmãs / Geba,"Jônatas e seu escudeiro escalam as rochas e atacam sozinhos o posto avançado filisteu, provocando pânico e debandada no acampamento inimigo.",1 Samuel 14:1-23
c. 1020 a.C.,c. 1020 a.C.,Desobediência no combate aos amalequitas e rejeição definitiva,"Saul, Samuel e Agague",Judá / Benjamim,Telaim / Gilgal,"Saul poupa o rei Agague e os melhores animais de Amaleque; Samuel o confronta com a famosa declaração ""obedecer é melhor que sacrificar"" e executa Agague.",1 Samuel 15:1-35
c. 1020 a.C.,c. 1015 a.C.,Período de vida e martírio do Sacerdote Aimeleque,Aimeleque,Benjamim,Nobe,"Sumo sacerdote de Nobe (bisneto de Eli); acolheu Davi faminto e lhe deu a espada de Golias, sendo executado por Saul após denúncia de Doegue.",1 Samuel 21:1-9; 1 Samuel 22:11-19
c. 1018 a.C.,c. 1018 a.C.,Unção secreta de Davi em Belém,"Davi, Samuel e Jessé",Judá,Belém,"Samuel é enviado por Deus à casa de Jessé em Belém e unge o caçula Davi no meio de seus irmãos, enquanto o Espírito do Senhor se retira de Saul.",1 Samuel 16:1-13
c. 1017 a.C.,c. 1017 a.C.,Davi ingressa no palácio como harpista e escudeiro de Saul,Davi e Saul,Benjamim,Gibeá,"Acometido por um espírito maligno e acessos de fúria, Saul contrata Davi para tocar harpa e acalmar sua alma no palácio.",1 Samuel 16:14-23
c. 1015 a.C.,c. 1015 a.C.,Combate do Vale de Elá e vitória de Davi sobre Golias,"Davi, Golias e Saul",Judá,Vale de Elá (Socó),"O gigante Golias desafia os exércitos de Israel por 40 dias; Davi aceita o desafio e o derruba com uma pedra de funda, cortando-lhe a cabeça.",1 Samuel 17:1-58
c. 1014 a.C.,c. 1014 a.C.,Aliança de amizade entre Davi e Jônatas e ciúme de Saul,"Davi, Jônatas e Saul",Benjamim,Gibeá,"Após as mulheres cantarem ""Saul matou seus milhares, e Davi seus dez milhares"", Saul nutre inveja mortal e tenta encravar Davi na parede com uma lança.",1 Samuel 18:1-16
c. 1014 a.C.,c. 1014 a.C.,Escape de Davi pela janela com ajuda de Mical,Davi e Mical,Benjamim,Gibeá,"Mical descobre o plano de Saul para matar Davi pela manhã, ajuda-o a escapar pela janela e coloca um ídolo doméstico na cama para enganar os guardas.",1 Samuel 19:11-18
c. 1013 a.C.,c. 1013 a.C.,O sinal das flechas de Jônatas para o escape definitivo de Davi,Davi e Jônatas,Benjamim,Pedra de Ezel (Gibeá),Jônatas combina um código com flechas para avisar Davi no campo sobre a decisão inalterável de Saul em matá-lo; os dois amigos choram ao se despedir.,1 Samuel 20:1-42
c. 1013 a.C.,c. 1013 a.C.,"Massacre dos sacerdotes de Nobe por Doegue, o edomita","Saul, Aimeleque e Doegue",Benjamim,Nobe,"Furioso porque Aimeleque deu pão da proposição a Davi, Saul manda Doegue chacinar 85 sacerdotes e exterminar os habitantes e animais de Nobe.",1 Samuel 22:6-23
c. 1012 a.C.,c. 1012 a.C.,Libertação de Queila e socorro divino no Deserto de Zife,Davi e Abiatar,Judá,Queila / Deserto de Zife,"Davi salva a cidade de Queila dos filisteus; consultando a Deus pelo éfode de Abiatar, descobre que os moradores o entregariam a Saul e foge a tempo.",1 Samuel 23:1-14
c. 1012 a.C.,c. 1012 a.C.,Davi poupa a vida de Saul na caverna de En-Gedi,Davi e Saul,Judá,En-Gedi,Saul entra numa caverna para aliviar-se sem saber que Davi e seus homens estavam no fundo; Davi apenas corta a orla do manto de Saul e recusa matá-lo.,1 Samuel 24:1-22
c. 1012 a.C.,c. 1012 a.C.,Morte de Samuel e sepultamento em Ramá,Samuel e Povo de Israel,Efraim / Benjamim,Ramá,"Todo o Israel se ajunta para prantear a morte do profeta e juiz Samuel, sepultando-o em sua casa em Ramá.",1 Samuel 25:1
c. 1012 a.C.,c. 1012 a.C.,Intervenção prudente de Abigail e morte do insensato Nabal,"Davi, Nabal e Abigail",Judá,Maão / Carmelo de Judá,"Nabal recusa asperamente alimento aos homens de Davi; Abigail intercepta Davi com presentes e evita um massacre. Dias depois, Nabal morre de ataque cardíaco.",1 Samuel 25:2-44
